gsc_impressions,gsc_avg_position,gsc_clicks,reason_code,reason_description,action_rank,content_archetype,operational_workflow,decay_half_life_days,refresh_trigger
38436,2.195988136122385,271,TOP_TIER_OPTIMIZE,Strong visibility and positioning; apply minor editorial polish.,1,Transactional Landing,Immediate metadata refresh and keyword density check,45,Traffic drop > 20% over 14 days or decay score > 0.6
35404,2.1883967913230142,225,TOP_TIER_OPTIMIZE,Strong visibility and positioning; apply minor editorial polish.,2,News/Trend Tracker,Automated brief generation followed by rapid human sign-off,45,Traffic drop > 20% over 14 days or decay score > 0.6
33383,0.1814995656471857,0,TOP_TIER_OPTIMIZE,Strong visibility and positioning; apply minor editorial polish.,3,Informational Pillar,Deep structural expansion and internal link reinforcement,45,Traffic drop > 20% over 14 days or decay score > 0.6
24577,10.794238515685397,66,COMPLIANCE_FLAG,Irregular traffic pattern detected; requires human editorial review.,4,Transactional Landing,Immediate metadata refresh and keyword density check,45,Traffic drop > 20% over 14 days or decay score > 0.6
24335,2.382371070474625,46,TOP_TIER_OPTIMIZE,Strong visibility and positioning; apply minor editorial polish.,5,Transactional Landing,Immediate metadata refresh and keyword density check,45,Traffic drop > 20% over 14 days or decay score > 0.6
23365,2.457949925101648,198,TOP_TIER_OPTIMIZE,Strong visibility and positioning; apply minor editorial polish.,6,News/Trend Tracker,Automated brief generation followed by rapid human sign-off,45,Traffic drop > 20% over 14 days or decay score > 0.6
21998,1.6417401581961997,5,TOP_TIER_OPTIMIZE,Strong visibility and positioning; apply minor editorial polish.,7,Informational Pillar,Deep structural expansion and internal link reinforcement,45,Traffic drop > 20% over 14 days or decay score > 0.6
19584,2.401858660130719,10,TOP_TIER_OPTIMIZE,Strong visibility and positioning; apply minor editorial polish.,8,Informational Pillar,Deep structural expansion and internal link reinforcement,45,Traffic drop > 20% over 14 days or decay score > 0.6
16902,2.4369897053603125,212,TOP_TIER_OPTIMIZE,Strong visibility and positioning; apply minor editorial polish.,9,Transactional Landing,Immediate metadata refresh and keyword density check,45,Traffic drop > 20% over 14 days or decay score > 0.6
16076,0.323090320975367,0,TOP_TIER_OPTIMIZE,Strong visibility and positioning; apply minor editorial polish.,10,Commercial Comparison,Conversion rate optimization and fresh data audit,45,Traffic drop > 20% over 14 days or decay score > 0.6
16059,2.501214272370633,90,TOP_TIER_OPTIMIZE,Strong visibility and positioning; apply minor editorial polish.,11,Transactional Landing,Immediate metadata refresh and keyword density check,45,Traffic drop > 20% over 14 days or decay score > 0.6
14274,3.1672971836906263,168,TOP_TIER_OPTIMIZE,Strong visibility and positioning; apply minor editorial polish.,12,Transactional Landing,Immediate metadata refresh and keyword density check,45,Traffic drop > 20% over 14 days or decay score > 0.6
14177,2.27516399802497,207,TOP_TIER_OPTIMIZE,Strong visibility and positioning; apply minor editorial polish.,13,Transactional Landing,Immediate metadata refresh and keyword density check,45,Traffic drop > 20% over 14 days or decay score > 0.6
13671,2.4923560822178334,4,TOP_TIER_OPTIMIZE,Strong visibility and positioning; apply minor editorial polish.,14,Transactional Landing,Immediate metadata refresh and keyword density check,45,Traffic drop > 20% over 14 days or decay score > 0.6
13253,1.0399154908322643,0,TOP_TIER_OPTIMIZE,Strong visibility and positioning; apply minor editorial polish.,15,News/Trend Tracker,Automated brief generation followed by rapid human sign-off,45,Traffic drop > 20% over 14 days or decay score > 0.6
13060,16.53675344563553,20,HIGH_POTENTIAL_STALE,Moderate visibility with low positioning; content refresh recommended.,16,Informational Pillar,Deep structural expansion and internal link reinforcement,45,Traffic drop > 20% over 14 days or decay score > 0.6
11966,3.0296673909409995,58,TOP_TIER_OPTIMIZE,Strong visibility and positioning; apply minor editorial polish.,17,News/Trend Tracker,Automated brief generation followed by rapid human sign-off,45,Traffic drop > 20% over 14 days or decay score > 0.6
11679,1.7797756657248052,1,TOP_TIER_OPTIMIZE,Strong visibility and positioning; apply minor editorial polish.,18,News/Trend Tracker,Automated brief generation followed by rapid human sign-off,45,Traffic drop > 20% over 14 days or decay score > 0.6
11325,4.870286975717439,1,TOP_TIER_OPTIMIZE,Strong visibility and positioning; apply minor editorial polish.,19,News/Trend Tracker,Automated brief generation followed by rapid human sign-off,45,Traffic drop > 20% over 14 days or decay score > 0.6
10917,0.20829898323715307,1,TOP_TIER_OPTIMIZE,Strong visibility and positioning; apply minor editorial polish.,20,Transactional Landing,Immediate metadata refresh and keyword density check,45,Traffic drop > 20% over 14 days or decay score > 0.6
10895,7.6972923359339145,1,TOP_TIER_OPTIMIZE,Strong visibility and positioning; apply minor editorial polish.,21,Commercial Comparison,Conversion rate optimization and fresh data audit,45,Traffic drop > 20% over 14 days or decay score > 0.6
10753,3.308472054310425,108,TOP_TIER_OPTIMIZE,Strong visibility and positioning; apply minor editorial polish.,22,Informational Pillar,Deep structural expansion and internal link reinforcement,45,Traffic drop > 20% over 14 days or decay score > 0.6
10702,3.0851242758362925,34,TOP_TIER_OPTIMIZE,Strong visibility and positioning; apply minor editorial polish.,23,Commercial Comparison,Conversion rate optimization and fresh data audit,45,Traffic drop > 20% over 14 days or decay score > 0.6
10094,11.520903507033882,59,COMPLIANCE_FLAG,Irregular traffic pattern detected; requires human editorial review.,24,News/Trend Tracker,Automated brief generation followed by rapid human sign-off,45,Traffic drop > 20% over 14 days or decay score > 0.6
9842,5.430095509042878,11,TOP_TIER_OPTIMIZE,Strong visibility and positioning; apply minor editorial polish.,25,News/Trend Tracker,Automated brief generation followed by rapid human sign-off,45,Traffic drop > 20% over 14 days or decay score > 0.6
9616,2.3790557404326123,19,TOP_TIER_OPTIMIZE,Strong visibility and positioning; apply minor editorial polish.,26,Commercial Comparison,Conversion rate optimization and fresh data audit,45,Traffic drop > 20% over 14 days or decay score > 0.6
9423,2.7130425554494324,60,TOP_TIER_OPTIMIZE,Strong visibility and positioning; apply minor editorial polish.,27,Commercial Comparison,Conversion rate optimization and fresh data audit,45,Traffic drop > 20% over 14 days or decay score > 0.6
9300,22.399032258064516,14,HIGH_POTENTIAL_STALE,Moderate visibility with low positioning; content refresh recommended.,28,Commercial Comparison,Conversion rate optimization and fresh data audit,45,Traffic drop > 20% over 14 days or decay score > 0.6
9159,0.8016158969319794,4,TOP_TIER_OPTIMIZE,Strong visibility and positioning; apply minor editorial polish.,29,News/Trend Tracker,Automated brief generation followed by rapid human sign-off,45,Traffic drop > 20% over 14 days or decay score > 0.6
8863,2.3659031930497574,21,TOP_TIER_OPTIMIZE,Strong visibility and positioning; apply minor editorial polish.,30,News/Trend Tracker,Automated brief generation followed by rapid human sign-off,45,Traffic drop > 20% over 14 days or decay score > 0.6
8847,2.338532835989601,8,TOP_TIER_OPTIMIZE,Strong visibility and positioning; apply minor editorial polish.,31,Informational Pillar,Deep structural expansion and internal link reinforcement,45,Traffic drop > 20% over 14 days or decay score > 0.6
8818,2.33068723066455,1,TOP_TIER_OPTIMIZE,Strong visibility and positioning; apply minor editorial polish.,32,Informational Pillar,Deep structural expansion and internal link reinforcement,45,Traffic drop > 20% over 14 days or decay score > 0.6
8610,11.64541231126597,69,COMPLIANCE_FLAG,Irregular traffic pattern detected; requires human editorial review.,33,News/Trend Tracker,Automated brief generation followed by rapid human sign-off,45,Traffic drop > 20% over 14 days or decay score > 0.6
8521,1.291163009036498,47,TOP_TIER_OPTIMIZE,Strong visibility and positioning; apply minor editorial polish.,34,Commercial Comparison,Conversion rate optimization and fresh data audit,45,Traffic drop > 20% over 14 days or decay score > 0.6
8483,2.456442296357421,8,TOP_TIER_OPTIMIZE,Strong visibility and positioning; apply minor editorial polish.,35,Commercial Comparison,Conversion rate optimization and fresh data audit,45,Traffic drop > 20% over 14 days or decay score > 0.6
8458,2.5448096476708444,2,TOP_TIER_OPTIMIZE,Strong visibility and positioning; apply minor editorial polish.,36,Informational Pillar,Deep structural expansion and internal link reinforcement,45,Traffic drop > 20% over 14 days or decay score > 0.6
8408,4.066127497621313,137,TOP_TIER_OPTIMIZE,Strong visibility and positioning; apply minor editorial polish.,37,News/Trend Tracker,Automated brief generation followed by rapid human sign-off,45,Traffic drop > 20% over 14 days or decay score > 0.6
8250,2.542060606060606,65,TOP_TIER_OPTIMIZE,Strong visibility and positioning; apply minor editorial polish.,38,Informational Pillar,Deep structural expansion and internal link reinforcement,45,Traffic drop > 20% over 14 days or decay score > 0.6
8056,16.099304865938432,19,HIGH_POTENTIAL_STALE,Moderate visibility with low positioning; content refresh recommended.,39,Informational Pillar,Deep structural expansion and internal link reinforcement,45,Traffic drop > 20% over 14 days or decay score > 0.6
8011,2.527274996879291,49,TOP_TIER_OPTIMIZE,Strong visibility and positioning; apply minor editorial polish.,40,Transactional Landing,Immediate metadata refresh and keyword density check,45,Traffic drop > 20% over 14 days or decay score > 0.6
7887,2.496132876886015,6,TOP_TIER_OPTIMIZE,Strong visibility and positioning; apply minor editorial polish.,41,Transactional Landing,Immediate metadata refresh and keyword density check,45,Traffic drop > 20% over 14 days or decay score > 0.6
7858,7.122295749554594,2,TOP_TIER_OPTIMIZE,Strong visibility and positioning; apply minor editorial polish.,42,Transactional Landing,Immediate metadata refresh and keyword density check,45,Traffic drop > 20% over 14 days or decay score > 0.6
7729,2.4228231336524777,1,TOP_TIER_OPTIMIZE,Strong visibility and positioning; apply minor editorial polish.,43,Commercial Comparison,Conversion rate optimization and fresh data audit,45,Traffic drop > 20% over 14 days or decay score > 0.6
7728,4.733695652173913,18,TOP_TIER_OPTIMIZE,Strong visibility and positioning; apply minor editorial polish.,44,News/Trend Tracker,Automated brief generation followed by rapid human sign-off,45,Traffic drop > 20% over 14 days or decay score > 0.6
7626,0.5483870967741935,3,TOP_TIER_OPTIMIZE,Strong visibility and positioning; apply minor editorial polish.,45,News/Trend Tracker,Automated brief generation followed by rapid human sign-off,45,Traffic drop > 20% over 14 days or decay score > 0.6
7585,3.361766644693474,15,TOP_TIER_OPTIMIZE,Strong visibility and positioning; apply minor editorial polish.,46,News/Trend Tracker,Automated brief generation followed by rapid human sign-off,45,Traffic drop > 20% over 14 days or decay score > 0.6
7485,2.708884435537742,41,TOP_TIER_OPTIMIZE,Strong visibility and positioning; apply minor editorial polish.,47,News/Trend Tracker,Automated brief generation followed by rapid human sign-off,45,Traffic drop > 20% over 14 days or decay score > 0.6
7459,33.24775439066899,1,HIGH_POTENTIAL_STALE,Moderate visibility with low positioning; content refresh recommended.,48,Transactional Landing,Immediate metadata refresh and keyword density check,45,Traffic drop > 20% over 14 days or decay score > 0.6
7440,4.14260752688172,15,TOP_TIER_OPTIMIZE,Strong visibility and positioning; apply minor editorial polish.,49,Commercial Comparison,Conversion rate optimization and fresh data audit,45,Traffic drop > 20% over 14 days or decay score > 0.6
7435,31.19408204438467,40,HIGH_POTENTIAL_STALE,Moderate visibility with low positioning; content refresh recommended.,50,Commercial Comparison,Conversion rate optimization and fresh data audit,45,Traffic drop > 20% over 14 days or decay score > 0.6
7334,2.2848377420234525,0,TOP_TIER_OPTIMIZE,Strong visibility and positioning; apply minor editorial polish.,51,Transactional Landing,Immediate metadata refresh and keyword density check,45,Traffic drop > 20% over 14 days or decay score > 0.6
7291,5.014401316691812,81,TOP_TIER_OPTIMIZE,Strong visibility and positioning; apply minor editorial polish.,52,Commercial Comparison,Conversion rate optimization and fresh data audit,45,Traffic drop > 20% over 14 days or decay score > 0.6
7205,2.7410131852879944,43,TOP_TIER_OPTIMIZE,Strong visibility and positioning; apply minor editorial polish.,53,Transactional Landing,Immediate metadata refresh and keyword density check,45,Traffic drop > 20% over 14 days or decay score > 0.6
7127,16.51059351760909,2,HIGH_POTENTIAL_STALE,Moderate visibility with low positioning; content refresh recommended.,54,News/Trend Tracker,Automated brief generation followed by rapid human sign-off,45,Traffic drop > 20% over 14 days or decay score > 0.6
